,productor_mxn_kg,futuros_mxn_kg,productor_equiv_verde,brecha_ajustada_pct
2003,1.6650568438538207,15.493505972630368,9.157812641196013,40.892573589389656
2004,1.8276188607594936,18.87882980333184,10.051903734177214,46.755684335884
2005,2.300869905063291,25.786315165870487,12.6547844778481,50.924417093151185
2006,2.5666872784810124,25.828494851744658,14.116780031645568,45.344163054503305
2007,3.793708018867924,28.21979178804507,20.865394103773582,26.06113375856685
2008,3.5407129538461537,32.161473107228055,19.473921246153846,39.449535843004575
2009,3.6269881249999996,37.19146847273615,19.948434687499997,46.36287431854554
2010,4.006974969879518,45.500928446437875,22.038362334337346,51.56502716141244
2011,4.748421666666666,69.16027131738893,26.116319166666663,62.23797467940203
2012,5.354539431137725,50.61655111230363,29.449966871257484,41.817515764919584
2013,4.428879672619048,35.31801694489203,24.35883819940476,31.029994584880765
2014,4.274786201780415,52.140018674862795,23.511324109792284,54.90733469735537
2015,4.758300384615385,46.131286538794676,26.17065211538462,43.2691908703303
2016,4.912271424332344,56.193250374120964,27.01749283382789,51.920394969232056
2017,5.24429059347181,55.4684812289227,28.843598264094954,48.000021588737575
2018,5.260167863501484,47.717742412427235,28.93092324925816,39.37072085429671
2019,5.0518893471810085,42.92150807291573,27.785391409495546,35.264643166094515
2020,5.263500414201183,52.61770021495344,28.949252278106506,44.9819126266575
2021,5.424204142011835,75.67608292725417,29.833122781065093,60.57787133387566
2022,6.118663735294118,95.25379459598726,33.65265054411765,64.67054075183759
2023,6.411040882352942,67.45377400243167,35.26072485294118,47.72609038647704
2024,6.165136794117648,96.0595665793626,33.90825236764706,64.7008064109547
